Wavelength (nm)	Z	E	HL
456.0	5980.889549804136	7593.375173806683	361.2419055146752
457.0	5534.246172517108	7216.14803336604	337.8153511470963
458.0	5115.052210248531	6851.332986531706	313.6428967975524
459.0	4723.462107024295	6498.931316016589	292.80930939313976
460.0	4347.6115121539415	6150.7303340432445	273.31341120913
461.0	3978.6913926212073	5797.652528003553	253.12821847549046
462.0	3614.6700745830817	5436.998504421595	235.56408914353656
463.0	3274.8396910837046	5091.327849825514	216.729261036235
464.0	2975.4248320097863	4776.210986062991	199.92069117067828
465.0	2712.7723215056553	4490.252038479268	186.79554305577523
466.0	2480.012491131506	4229.121417511928	172.97585098070618
467.0	2261.7263966085557	3973.8944117194906	162.3246262859227
468.0	2046.6582141078532	3714.2926912743596	152.23301151619648
469.0	1836.8306887487452	3452.573683121302	140.108950175227
470.0	1636.170169543842	3191.5565349520634	131.21576587316636
471.0	1443.345315106671	2931.9698871240676	120.9848638986144
472.0	1280.3255935188697	2703.450018562011	110.53381388048298
473.0	1138.8561020936575	2496.895011587394	103.77553212445306
474.0	1016.5252154532469	2312.339274666831	95.8538017449673
475.0	908.8168309374015	2142.2457408868227	88.73682449486371
476.0	809.7155529171464	1979.1693397810375	84.34955495072988
477.0	717.5477722640812	1822.5321226929884	78.83599521220832
478.0	634.4853208891894	1674.5822655953082	73.73874644927838
479.0	559.1898517920029	1535.5012306788103	70.18251976535288
480.0	489.79979476310984	1402.2067341916147	64.8929775546005
481.0	429.78956803082406	1279.849090976704	60.359535399948534
482.0	363.70648131958365	1140.5872020473475	55.90203187254187
483.0	305.6370386018629	1016.2530049276043	48.872189146956586
484.0	263.6806454070503	922.8859676380994	46.19180313837533
485.0	233.44784958650072	852.5694454198208	46.38786648807467
486.0	214.35562837662803	804.2557861750871	46.45892558194711
487.0	199.24850260250503	761.114911777856	46.892122872739215
488.0	182.66474908135004	712.0759065202141	45.73358223474605
489.0	161.4426838560577	647.8814454537443	40.69682261438769
490.0	136.52783587252475	571.6279749176323	34.68444084032255
491.0	116.17066634984918	509.38807422370854	31.860528265559513
492.0	101.02581099454441	460.7884526156766	29.22415763964922
493.0	87.5026408051883	414.79498111725275	27.5525973733829
494.0	76.39370592824727	375.56243023588263	25.59554883968316
495.0	66.80563032191034	340.2714784786854	23.649795785569875
496.0	58.30685900723882	306.82139499643444	22.167228524727832
497.0	51.303671806845266	278.25713580764807	20.137556032225707
498.0	44.76747975023882	251.59641551790327	18.790065066942788
499.0	38.72117700075841	225.63464791842983	17.79520930064029
500.0	33.854106816538774	203.2890346660514	16.610635000627923
501.0	29.412822282096283	183.30310077425713	16.085181809182743
502.0	25.648747099218838	165.0498843417673	15.145025185210494
503.0	22.94929629992757	149.70940297763275	14.384557733350634
504.0	20.277684803256367	135.03926038484437	12.622292205316509
505.0	18.012353129197486	122.17056389756539	11.499017932430446
506.0	16.230729338163275	109.8300321228979	11.512660709412158
507.0	14.362611398034579	99.05379391608336	10.757015886745988
508.0	12.570914175131264	89.47794453858668	10.670279691482884
509.0	11.403907093093475	80.76019045945952	9.88245555543546
510.0	10.352652900897231	73.24908072732822	8.156850544900799
511.0	9.269804763293298	65.94110867103494	7.871746380677375
512.0	8.71233188599075	60.02726752353884	7.369737711094436
513.0	8.215528541536324	54.377814081668255	6.083219573906973
514.0	7.562815944743905	49.23687870266684	6.133437512119013
515.0	6.999207431666529	44.67947019010105	6.039218417280882
516.0	6.733268830321707	40.83659276011979	5.610303165979334
517.0	6.254689239885058	36.978266185881665	6.218921815438139
518.0	5.698590012382861	33.40190391855355	5.801885311560698
519.0	5.5343472845894945	30.81970030392917	4.870748000003904
520.0	5.392311895234872	28.154877122478435	4.2808365994824396
521.0	5.009796214168304	25.77201686156163	3.1145996712420705
522.0	4.7200934712776865	23.892445946334313	3.219900854994463
523.0	4.690697365550529	22.132986175738427	3.0995485158233453
524.0	4.394492680271667	20.42265723985169	2.9646856109365327
525.0	3.962159299779617	18.32389479251418	3.2203418623839513
526.0	3.828365809227014	16.76524301887961	2.1662630714987254
527.0	3.6515312915972453	15.286836769162004	1.6488902735109807
528.0	3.2950233800836775	13.863920408914298	1.886735516844561
529.0	3.371032002368873	12.96825053922948	2.8197791184072414
530.0	3.5276738679337165	12.30986472387251	3.2609856724326343
531.0	3.54882807485888	11.53341777290629	3.10462721382385
532.0	3.387012128379432	10.387705660502402	1.4492988646963163
533.0	3.024093851130977	9.312556999956264	-0.036455030185220776
534.0	2.58493800996394	8.184340196788419	-1.236436136736897
535.0	2.2996767347610745	7.447396707308381	-1.1262838717011812
536.0	2.2861233900644344	7.213637703076538	-0.15117385560792887
537.0	2.2496300937022076	6.9458601820348065	0.0844663507786761
538.0	2.354302208487722	6.888933439848797	0.3377610787860791
539.0	2.473168704543358	6.68161376072989	0.29481264947664626
540.0	2.395008030904314	6.233054822516763	1.0175384044309888
541.0	2.244913896054399	5.741337746563053	1.4713776862558243
542.0	2.2784309511825667	5.566655942783961	1.708312462721145
543.0	2.3991289803053113	5.513493463575416	2.4476969161587765
544.0	2.3103912032036846	5.088121790422064	2.488141561580026
545.0	2.064004217350304	4.522745863048328	3.193170116779064
546.0	2.0319981770025017	4.274965366780575	3.2543563355468312
547.0	1.957363204517643	4.273416217606317	2.1313665835571016
548.0	1.8704569604831238	4.340574729945596	1.6835875968251728
549.0	1.9644603951526987	4.340173563137494	2.1232861900996602
550.0	2.2614892703117695	4.715500968831887	2.519424634137544
551.0	2.596064573346649	4.946965142639073	2.2698286777831465
552.0	2.396702198991392	4.3636957640416165	1.9581787139271143
553.0	1.7520941360209414	3.500503139128949	1.749411506204074
554.0	1.410146912390936	3.0154228972774475	2.0483149339020157
555.0	1.6039688992181744	3.275255412402788	1.4465247859565615
556.0	1.9979316619541942	4.119293677096605	-0.07008540013799558
557.0	2.1609838932539382	3.923431135486177	-1.116951586299765
558.0	2.467857258648738	4.159844482652931	-0.9678341845039544
559.0	2.9563729159744727	4.77768982725668	0.4248386991250109
560.0	2.853944429196177	4.397333531581248	1.7421277712565932
561.0	2.0113934299974776	3.104305984952585	2.655269136116991
