Wavelength (nm)	355 nm LED	375 nm LED	405 nm LED	420 nm LED	450 nm LED	470 nm LED	490 nm LED
304.0	3.057528237360848e-05	-1.6735286352834136e-05	-0.00010635073415408984	-0.0001878827045578136	-0.0002884882748708231	-0.0002602913094885957	-0.0003992408954628311
305.0	2.318969896241413e-05	5.105089935670346e-05	-8.960769008193052e-05	-0.00024113038486371454	-0.00022497261992478437	-0.00016408959571118347	-0.0003638255080493908
306.0	8.218921777570783e-06	7.29014866245129e-05	-0.00012125440155353261	-0.00018590650198976148	-0.00032348945493683077	-0.0002326010389324468	-0.0003359298261826282
307.0	-1.2740166281222969e-05	0.00018444081021633027	-9.871024643665572e-05	-0.00014901738738608595	-0.00034294957049477257	-0.00029243180209841645	-0.0002916848490304987
308.0	7.229384812871894e-05	6.760122526585427e-05	-0.0001404027843515534	-0.00010102389644763135	-0.00028551520166058446	-0.00033314309273751764	-0.0002528249513343779
309.0	8.145374587293409e-05	5.617794955985839e-05	-0.00012916214912939782	-0.00012023174892125888	-0.00029219710862299147	-0.0002653916668628684	-0.0002941186462020646
310.0	2.8579178748956634e-05	0.00017656836319832926	-0.0001130479517829537	-0.0002356879857278834	-0.0002103775332563302	-0.00029045392563012065	-0.00030900442890255213
311.0	9.045839111300367e-05	3.5643767073928645e-05	-0.00013530912587326061	-0.00018223641150623106	-0.000189430881093272	-0.0002510612193032168	-0.0003820668582787781
312.0	3.616437252261802e-05	5.567563720887097e-05	-0.0001236125767749649	-0.00022373666543536714	-0.00011861768281300494	-0.0003694041613229474	-0.0003354931981186371
313.0	3.4896916517374736e-08	0.00010259853923701391	-9.804995737465077e-05	-0.00014845275808092833	-0.0002282159725177732	-0.00036330570887903904	-0.00025486254896638506
314.0	2.5984244036922117e-05	1.0857250720194182e-05	-0.00011672670512838837	-0.00017451981100240175	-0.000248486926223957	-0.0004824727660938921	-0.00029430461741451216
315.0	0.0001465489029655739	-5.511203475669843e-06	-0.00011040679553495224	-0.00015823966603700638	-0.0002376757509139868	-0.00045758448720116757	-0.00033461994199063976
316.0	0.00018068227494702808	-3.0219774809427805e-05	-0.00013606374194412036	-0.00024058143970592062	-0.00021051267294770352	-0.0004699462151280208	-0.0004912238742791178
317.0	0.0003485545897797973	0.0001438314548065825	-0.00015370289260042445	-0.00020331590556547414	-0.0002928127449948059	-0.0004933510866695242	-0.00035761568669470553
318.0	0.00020423629771785804	0.0001686179711603288	-0.00011748132119924383	-0.00021112661095349812	-0.00022443206115928182	-0.0004974716626451437	-0.0003258873807106066
319.0	0.0001251905941818557	1.8156284024759973e-06	-0.00016832357897329713	-0.00020388053487063355	-0.0002825421284503399	-0.0004157194352888921	-0.0003653294491587287
320.0	0.00023798708317125973	9.575236831540475e-05	-0.00010124135450765597	-0.00021994894384659477	-0.00022955610779056297	-0.0005233900855317718	-0.0003427339468466544
321.0	0.00031302394526109976	0.0002170218285681004	-7.154406788576921e-05	-0.00018251872615880998	-0.0002878125764139498	-0.00043846501467429994	-0.0003969122124548246
322.0	0.000345693507917808	4.3680764689670196e-05	-0.00011888574555334187	-0.00017981059671369904	-0.00030330859435823696	-0.000523898289902101	-0.0003889558788441342
323.0	0.00037430432653775246	0.00024999257201977734	-0.00013578076091754472	-0.00014694707993383763	-0.00022267524517141199	-0.000416543550484009	-0.00032792497834261374
324.0	0.00040724003634441534	0.00013806352332805354	-0.0001340828747581177	-0.0001786604259068937	-0.0003044347584530238	-0.00048478028864024466	-0.00033272788704662436
325.0	0.0004834911948059192	3.548787703397275e-05	-0.00013153604551897357	-0.00017376697192885565	-0.0002564601680150521	-0.00048379135040609554	-0.00040229729191084345
326.0	0.0005217165792178971	0.0001745807651888243	-0.0001000779880650819	-0.00018948248758909406	-0.00034997683444624664	-0.0005188162461988445	-0.0003683130742627365
327.0	0.0005745135200897938	0.00035521834899318155	-0.00015455183568013932	-0.00022693623149792736	-0.00033632772561741536	-0.000509668567532969	-0.00041292190813487157
328.0	0.0007695328442177694	0.00020774637119044494	-8.474984912578214e-05	-0.0001419595210716042	-0.00034862543753249887	-0.0004500026274060301	-0.00034917421079067555
329.0	0.0007445150121221991	0.0002671881094832057	-7.060603818657715e-05	-0.00016878464111574638	-0.00030580867864865927	-0.0003670325409281002	-0.0004463967263749725
330.0	0.0007633449229813682	0.00022099702458709724	-8.918321854207332e-05	-0.00018731807525265592	-0.00025456821233581234	-0.0003764915520010115	-0.0004842378252550935
331.0	0.0008325265477722397	0.0003746959434304805	-8.000991693070533e-05	-0.00013783459031447767	-0.00031428118652178366	-0.0004390281600576339	-0.0004501363648861008
332.0	0.0011084601502181822	0.0003903975346776189	-6.84731997085277e-05	-0.00016104712841542946	-0.0002933082571965145	-0.0004236126274910735	-0.0003775873777703165
333.0	0.0011929840492573753	0.000428850411201241	-0.00011694680148238494	-0.00020611813989477727	-0.0002676129464337716	-0.0003201083374013175	-0.00036068421170004427
334.0	0.0012260417431744404	0.00047985243594169264	-0.00013427152877583195	-0.00019503467575648862	-0.00026159547628728955	-0.0003730302681814961	-0.00030885888621455293
335.0	0.0011162560438188788	0.0004764358458992196	-5.645174646860997e-05	-0.0001964462490193798	-0.0002524735471195026	-0.0004293722770214386	-0.0003970334980281608
336.0	0.0012178577183133911	0.0006511755898584096	-0.00015568375978642536	-0.00017969557963302092	-0.00027213637221450544	-0.00046500152395728087	-0.0004220910974788968
337.0	0.0014584547418707882	0.000597081745992069	-8.78626404180699e-05	-0.00017323371091842955	-0.00037997784593139545	-0.000495438845163838	-0.0005146077328178547
338.0	0.0017255666752422434	0.000661970975125677	-8.291833303713714e-05	-0.00012796926162157404	-0.00039372830952875954	-0.0005330459685679717	-0.0005042863305271559
339.0	0.002027078127745113	0.0007139213309425511	-8.776831340921438e-05	-0.00014412393340804553	-0.00038092382377102006	-0.0003369340226350837	-0.0005014118624391452
340.0	0.0025909108649202857	0.0007174873156066486	-0.00010676734510987585	-0.00015756524770028522	-0.00035497700302710415	-0.0005310131510866734	-0.00047825844648974666
341.0	0.0035805790420200515	0.0006826393962571193	-0.00011811016792495827	-0.00014189678448214545	-0.0003299761601228129	-0.0006113094415982033	-0.0005074276268765007
342.0	0.004754154899737224	0.0007832923987250303	-0.0001187075723143854	-0.00017677832822303634	-0.00030984034610800557	-0.00048510993471829393	-0.0005230977229512142
343.0	0.006580789326651342	0.0009791682339355312	-0.00011078410357037862	-0.00011862150979173242	-0.0003693018103128094	-0.00045873824847433555	-0.0004498897508869903
344.0	0.008834806173799172	0.0010385688345788502	-0.00019983666051568417	-0.00014769991900738465	-0.00034789343087088714	-0.000522881881161454	-0.0005047350871484941
345.0	0.01242358424635432	0.00105851626427548	-0.00017860522293873337	-0.00015466368043766873	-0.0003633106173285346	-0.0005218654724208001	-0.0003745956669614182
346.0	0.01708696470523798	0.0012613551879375618	-8.960769008192955e-05	-0.00014682944882859578	-0.0003828946109368978	-0.0005416854428635205	-0.0004387678638122877
347.0	0.02326931348569024	0.0014416030466420217	-7.157551022205581e-05	-0.00018309903961133406	-0.00024163984852764282	-0.000398880014801868	-0.0005540983154953129
348.0	0.03100451444673964	0.002100952961492114	-7.126108685919466e-05	-0.00011777456583399342	-0.0002820015696848405	-0.00043384996958160705	-0.0004902050754631075
349.0	0.04031274486919127	0.0023932467864182325	-5.362193620289376e-05	-0.00016859120329824182	-0.0004033570125391935	-0.000534556846425702	-0.0004638618489350337
350.0	0.05060787110259787	0.0030647950968952457	-6.88609885227179e-05	-0.00014421803829224014	-0.00035775487446091563	-0.00046494658294427325	-0.0004410116469189607
351.0	0.06588269368260649	0.0039013053816027462	-0.00010996660282694915	-0.00012168253255256463	-0.00029511387362849345	-0.00050831335587877	-0.00036547094899427965
352.0	0.08809846759141844	0.005210257753526491	-0.00010474717500351838	-0.00020030454927129468	-0.00029078564962419206	-0.000408302398532776	-0.0004290771465029268
