Wavelength / nm	1	2	3
248.0	1132.3358256084289	2681.605167210949	104.0766540866462
249.0	1032.2321241263662	2542.250923218146	99.33339623388525
250.0	934.6245030757232	2413.326919153262	87.35216082098317
251.0	858.8470031093274	2280.7263444935747	89.31153764388291
252.0	782.7426787409125	2162.635835811393	87.26129892874124
253.0	714.7656905458696	2051.0469572798847	87.9477670982936
254.0	644.5665552439594	1956.2527165091203	70.19974620676612
255.0	574.9963159276772	1872.5732208719967	53.99906454392055
256.0	436.8589068389095	1882.3021575857388	0.0
257.0	555.870414231919	1594.3018023531854	157.61958656261058
258.0	500.86832314632414	1568.8861800987793	152.84648636600213
259.0	420.00133328406895	1511.8929137246216	89.47266271933981
260.0	362.26635103420045	1482.2803792506056	47.417598703695894
261.0	326.9944568569853	1419.8679355293032	43.36630753337474
262.0	293.16551046470624	1372.603618203892	38.3837177164819
263.0	262.11038180974157	1322.3243594401295	30.81541562368964
264.0	235.33637977523549	1278.2740406716198	20.591893324061083
265.0	215.51080687330122	1229.309608620884	26.553154278166968
266.0	188.5472900406216	1202.970949246095	4.677604036957691
267.0	171.9174216389065	1155.1621411481228	8.561787425605793
268.0	154.26797867639186	1130.1416795253936	11.055655627140672
269.0	133.551099724107	1100.5918389643284	0.0
270.0	118.77401732014614	1073.9431276433602	0.0
271.0	111.51087559046552	1033.8583230039592	0.0
272.0	91.8558565648217	1021.1397773729605	0.0
273.0	83.82638267561467	998.3897184193015	0.0
274.0	75.6297317525203	970.3305215316551	0.0
275.0	65.30790345315069	952.2241872457644	0.0
276.0	53.94750930411976	941.602550323125	0.0
277.0	51.202280939498806	916.3017280925327	0.0
278.0	37.302197644987366	910.6607384098422	0.0
279.0	34.54094163732477	895.0251528517264	0.0
280.0	23.573162458125445	887.0164913843292	0.0
281.0	17.511229218122796	877.2371579308538	0.0
282.0	13.851294159450983	856.3958365042637	0.0
283.0	9.477104010147398	854.2167209268137	0.0
284.0	5.347910443154867	847.064322353292	0.0
285.0	2.3517854744122855	834.5885763791803	0.0
286.0	0.0	826.1395317697167	0.0
287.0	0.0	812.5458901054976	0.0
288.0	0.0	799.7711207655487	0.0
289.0	0.0	791.6053729118806	0.0
290.0	0.0	782.4723938022029	0.0
291.0	0.0	774.4097820637505	0.0
292.0	0.0	767.8416571251053	0.0
293.0	0.0	765.4787584468895	0.0
294.0	0.0	750.5380341859761	0.0
295.0	0.0	746.2529982658945	0.0
296.0	0.0	738.2996717169858	0.0
297.0	0.0	730.888456667098	0.0
298.0	0.0	720.755325655683	0.0
299.0	0.0	717.2856721576425	0.0
300.0	0.0	711.5201719874368	0.0
301.0	0.0	702.8984011916258	0.0
302.0	0.0	697.3023343132126	0.0
303.0	0.0	689.7725707475546	0.0
304.0	0.0	683.7570332609989	0.0
305.0	0.0	676.5755867993967	0.0
306.0	0.0	672.2571491746694	0.0
307.0	0.0	664.7904271552687	0.0
308.0	0.0	660.3075948815916	0.0
309.0	0.0	654.6683788190466	0.0
310.0	0.0	647.1942715836396	0.0
311.0	0.0	641.7332704449482	0.0
312.0	0.0	635.0562388477615	0.0
313.0	0.0	630.6649018284899	0.0
314.0	0.0	623.7435739664791	0.0
315.0	0.0	618.4410882056476	0.0
